project_id,is_blue_ccs,log_capacity_mw,region,sponsor_type,sponsor_owner,tech,year_announced,duration,event_any,event_type,capacity_mw,region_short,cap_bkt,key,v7_project_id,sp_record_id,match_quality,Record ID,Project name,Primary end use sector,Primary end use sector detail,Secondary use sector,Output product,Will export,Export destination geography,project_status,Project status major,cbam_endex,sponsor_proxy_cbam
473,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,473,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
474,1,0.0,North_America,Other,U.S. Department of Energy,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,474,,exact_exhausted,,,,,,,,,,,0,0
474,1,0.0,North_America,Other,U.S. Department of Energy,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,474,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
475,0,7.447465691485828,North_America,Unknown,Unknown,PEM,2023.0,3,0,0,1714.5099999999993,NA,XXL,2023_NA_0_XXL,475,CETPROJH21599,exact,CETPROJH21599,Dakota Renewable Hydrogen Project (DRH),Industry (refinery feedstock),Oil Refinery,Unknown,Hydrogen,Unknown,,Design,Planning - early,1,0
476,1,0.0,North_America,Other,Battelle Memorial Institute,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,476,,exact_exhausted,,,,,,,,,,,0,0
476,1,0.0,North_America,Other,Battelle Memorial Institute,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,476,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
477,1,0.0,MENA,Other,Saudi Arabian Oil Company,Blue_CCS,2023.0,3,0,0,0.0,UNK,XS,2023_UNK_1_XS,477,,no_match,,,,,,,,,,,0,0
477,1,0.0,MENA,Other,Saudi Arabian Oil Company,Blue_CCS,2023.0,3,0,0,0.0,UNK,XS,2023_UNK_1_XS,477,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
478,0,2.3978952727983707,EU,Other,Lhyfe SA,PEM,2023.0,3,0,0,10.000000000000002,EU,L,2023_EU_0_L,478,CETPROJH21920,exact,CETPROJH21920,H2goesRail,Transport (rail),,Unknown,Hydrogen,No,,Fully commissioned,Operating,0,0
479,0,0.048790164169432,Other,Unknown,Unknown,PEM,2021.0,5,0,0,0.049999999999999996,OT,XS,2021_OT_0_XS,479,CETPROJH2339,exact,CETPROJH2339,Johannesburg Hub,Unknown,Unknown,Unknown,Hydrogen,Unknown,,On-hold (assumed),Cancelled,0,0
480,0,3.044522437723423,Other_Europe,Other,Trafigura Group Pte. Ltd.,PEM,2023.0,3,0,0,20.0,OE,L,2023_OE_0_L,480,CETPROJH21562,exact,CETPROJH21562,Egersund Liquid Green Hydrogen,Transport (shipping),,Unknown,Hydrogen,No,,Fully commissioned,Operating,0,0
481,0,1.791759469228055,EU,Unknown,Unknown,PEM,2023.0,3,0,0,5.0,EU,M,2023_EU_0_M,481,,exact_exhausted,,,,,,,,,,,0,0
481,0,1.791759469228055,EU,Unknown,Unknown,PEM,2023.0,3,0,0,5.0,EU,M,2023_EU_0_M,481,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
482,0,4.61512051684126,EU,Other,"Galp Energia, SGPS, S.A.",PEM,2023.0,3,0,0,100.00000000000003,EU,XL,2023_EU_0_XL,482,CETPROJH21988,exact,CETPROJH21988,Helios,Power & heat,Power to the industry,Unknown,Hydrogen,No,,Design,Planning - early,0,0
483,0,8.006700845440367,ANZ,Other,Allied Green Ammonia Pty Ltd,PEM,2023.0,3,0,0,2999.9999999999995,UNK,XXL,2023_UNK_0_XXL,483,,no_match,,,,,,,,,,,0,0
483,0,8.006700845440367,ANZ,Other,Allied Green Ammonia Pty Ltd,PEM,2023.0,3,0,0,2999.9999999999995,UNK,XXL,2023_UNK_0_XXL,483,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
484,0,0.0,Asia,Unknown,Unknown,PEM,2023.0,3,0,0,0.0,UNK,XS,2023_UNK_0_XS,484,,no_match,,,,,,,,,,,0,0
484,0,0.0,Asia,Unknown,Unknown,PEM,2023.0,3,0,0,0.0,UNK,XS,2023_UNK_0_XS,484,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
485,0,3.573749146860305,EU,Industrial_gas,L'Air Liquide S.A.,PEM,2023.0,3,0,0,34.650000000000006,EU,L,2023_EU_0_L,485,CETPROJH21867,exact,CETPROJH21867,H2 Factory,Industry (other),Ceramics,Unknown,Hydrogen,No,,Announced (advanced),Planning - early,0,1
486,1,0.0,Other,Unknown,Unknown,Blue_CCS,2023.0,3,0,0,0.0,OT,XS,2023_OT_1_XS,486,CETPROJH21926,relaxed,CETPROJH21926,Shaybah demonstration plant,Power & heat,Power,Unknown,Hydrogen,No,,Announced (advanced),Planning - early,0,0
487,0,4.61512051684126,North_America,Unknown,Unknown,PEM,2023.0,3,0,0,100.00000000000003,NA,XL,2023_NA_0_XL,487,CETPROJH21961,exact,CETPROJH21961,Fresno H2B2 Green Hydrogen (Sohycal Plant),Transport (road),Buses & Light Motor Vehicles,Unknown,Hydrogen,No,,Fully commissioned,Operating,0,0
488,0,4.61512051684126,North_America,Other,New Fortress Energy Inc.,PEM,2023.0,3,0,0,100.00000000000003,NA,XL,2023_NA_0_XL,488,CETPROJH21571,exact,CETPROJH21571,Charbone Sorel-Tracy Green H2,Industry (other),Mining,Power & heat and transport (other),Hydrogen,Unknown,,Fully commissioned,Operating,0,0
489,0,5.707110264748875,EU,Other,PCK Raffinerie GmbH,PEM,2023.0,3,0,0,299.9999999999999,EU,XL,2023_EU_0_XL,489,CETPROJH21776,exact,CETPROJH21776,H2HybNS project,Transport (road),Buses,Unknown,Hydrogen,No,,Plans cancelled,Cancelled,0,0
490,0,0.5653138090500605,Other_Europe,Unknown,Unknown,PEM,2023.0,3,0,0,0.7600000000000001,OE,S,2023_OE_0_S,490,CETPROJH22989,relaxed,CETPROJH22989,STFC ASPIRE Project,Other,R&D,Unknown,"Hydrogen,Ammonia",Unknown,,Under construction,Planning - advanced,0,0
491,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,491,,exact_exhausted,,,,,,,,,,,0,0
491,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,491,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
492,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,492,,exact_exhausted,,,,,,,,,,,0,0
492,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,492,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
493,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,493,,exact_exhausted,,,,,,,,,,,0,0
493,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,493,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
494,1,0.0,North_America,Other,"Fidelis New Energy, LLC",Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,494,,exact_exhausted,,,,,,,,,,,0,0
494,1,0.0,North_America,Other,"Fidelis New Energy, LLC",Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,494,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
495,1,0.0,North_America,Other,PCS Nitrogen Fertilizer LP,Blue_CCS,2022.0,2,1,2,0.0,NA,XS,2022_NA_1_XS,495,,exact_exhausted,,,,,,,,,,,0,0
495,1,0.0,North_America,Other,PCS Nitrogen Fertilizer LP,Blue_CCS,2022.0,2,1,2,0.0,NA,XS,2022_NA_1_XS,495,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
496,0,1.3862943611198906,EU,Unknown,Unknown,PEM,2023.0,3,0,0,3.0,EU,M,2023_EU_0_M,496,,exact_exhausted,,,,,,,,,,,0,0
496,0,1.3862943611198906,EU,Unknown,Unknown,PEM,2023.0,3,0,0,3.0,EU,M,2023_EU_0_M,496,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
497,0,1.791759469228055,Asia,Unknown,Unknown,PEM,2023.0,3,0,0,5.0,UNK,M,2023_UNK_0_M,497,,no_match,,,,,,,,,,,0,0
497,0,1.791759469228055,Asia,Unknown,Unknown,PEM,2023.0,3,0,0,5.0,UNK,M,2023_UNK_0_M,497,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
498,0,1.252762968495368,Asia,Unknown,Unknown,PEM,2023.0,3,0,0,2.5,UNK,M,2023_UNK_0_M,498,,no_match,,,,,,,,,,,0,0
498,0,1.252762968495368,Asia,Unknown,Unknown,PEM,2023.0,3,0,0,2.5,UNK,M,2023_UNK_0_M,498,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
499,0,0.0,Other,Unknown,Unknown,PEM,2021.0,5,0,0,0.0,OT,XS,2021_OT_0_XS,499,CETPROJH2338,exact,CETPROJH2338,Green Hydrogen Pilot Project Algeria,Industry (other),Steel,Unknown,Hydrogen,Unknown,,On-hold (assumed),Cancelled,1,0
500,1,0.0,EU,Other,Wintershall Dea AG,Blue_CCS,2022.0,4,0,0,0.0,EU,XS,2022_EU_1_XS,500,CETPROJH21841,relaxed,CETPROJH21841,BlueHyNow Project,Industry (other),Other Industrial Process,Unknown,Hydrogen,No,,On-hold (assumed),Cancelled,0,0
501,1,0.0,EU,Oil_major,TotalEnergies SE,Blue_CCS,2021.0,5,0,0,0.0,EU,XS,2021_EU_1_XS,501,,exact_exhausted,,,,,,,,,,,0,1
501,1,0.0,EU,Oil_major,TotalEnergies SE,Blue_CCS,2021.0,5,0,0,0.0,EU,XS,2021_EU_1_XS,501,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,1
502,1,0.0,Other,Other,Motor Oil Holdings SA,Blue_CCS,2023.0,3,0,0,0.0,OT,XS,2023_OT_1_XS,502,CETPROJH22293,relaxed,CETPROJH22293,Blue Horizons Project,Unknown,Unknown,Unknown,"Hydrogen,Ammonia",Unknown,,Feasibility,Planning - early,0,0
503,0,1.791759469228055,Asia,Other,China Huadian Corporation Ltd.,PEM,2023.0,3,0,0,5.0,UNK,M,2023_UNK_0_M,503,,no_match,,,,,,,,,,,0,0
503,0,1.791759469228055,Asia,Other,China Huadian Corporation Ltd.,PEM,2023.0,3,0,0,5.0,UNK,M,2023_UNK_0_M,503,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
504,0,4.2626798770413155,EU,Unknown,Unknown,PEM,2023.0,3,0,0,70.0,EU,L,2023_EU_0_L,504,CETPROJH23168,exact,CETPROJH23168,VOZARTEK,Transport (road),Heavy Goods Vehicles,Gas grid,Hydrogen,No,,Financed,Planning - advanced,0,0
505,0,1.791759469228055,EU,Unknown,Unknown,PEM,2023.0,3,0,0,5.0,EU,M,2023_EU_0_M,505,,exact_exhausted,,,,,,,,,,,0,0
505,0,1.791759469228055,EU,Unknown,Unknown,PEM,2023.0,3,0,0,5.0,EU,M,2023_EU_0_M,505,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
506,0,0.0,EU,Unknown,Unknown,PEM,2023.0,3,0,0,0.0,EU,XS,2023_EU_0_XS,506,CETPROJH22072,exact,CETPROJH22072,FrontFuel,Transport (aviation),,Unknown,"Hydrogen,SAF",No,,Design,Planning - early,0,0
507,1,0.0,North_America,Other,BASF SE,Blue_CCS,2023.0,1,1,1,0.0,NA,XS,2023_NA_1_XS,507,,exact_exhausted,,,,,,,,,,,0,0
507,1,0.0,North_America,Other,BASF SE,Blue_CCS,2023.0,1,1,1,0.0,NA,XS,2023_NA_1_XS,507,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
508,0,2.3978952727983707,EU,Other,Lhyfe SA,PEM,2023.0,3,0,0,10.000000000000002,EU,L,2023_EU_0_L,508,CETPROJH21923,exact,CETPROJH21923,Bouin Green H2,Transport (road),Unknown,Unknown,Hydrogen,No,,Fully commissioned,Operating,0,0
509,0,0.7371640659767197,Asia,Unknown,Unknown,PEM,2022.0,4,0,0,1.09,UNK,M,2022_UNK_0_M,509,,no_match,,,,,,,,,,,0,0
509,0,0.7371640659767197,Asia,Unknown,Unknown,PEM,2022.0,4,0,0,1.09,UNK,M,2022_UNK_0_M,509,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
510,0,2.4087452888224363,North_America,Other,Avina Clean Hydrogen Inc.,PEM,2023.0,3,0,0,10.12,NA,L,2023_NA_0_L,510,CETPROJH21729,exact,CETPROJH21729,Maryland Green Hydrogen,Transport (road),Buses,Unknown,Hydrogen,No,,Under construction,Planning - advanced,0,0
511,0,4.927253685157205,North_America,Unknown,Unknown,PEM,2022.0,4,0,0,137.00000000000006,NA,XL,2022_NA_0_XL,511,CETPROJH21530,exact,CETPROJH21530,Fresno H2B2 Green Hydrogen (Sohycal Plant),Transport (road),Buses & Light Motor Vehicles,Unknown,Hydrogen,No,,Decommissioned,Offline,0,0
512,0,4.927253685157205,North_America,Unknown,Unknown,PEM,2022.0,4,0,0,137.00000000000006,NA,XL,2022_NA_0_XL,512,CETPROJH22164,exact,CETPROJH22164,Hydra Energy Hydrogen Station,Transport (road),Trucks,Unknown,Hydrogen,No,,Under construction,Planning - advanced,0,0
513,0,1.791759469228055,Other,Unknown,Unknown,PEM,2023.0,3,0,0,5.0,OT,M,2023_OT_0_M,513,CETPROJH21648,exact,CETPROJH21648,Bogota H2,Transport (road),Buses,Unknown,Hydrogen,No,,Fully commissioned,Operating,0,0
514,0,1.791759469228055,EU,Unknown,Unknown,PEM,2023.0,1,1,1,5.0,EU,M,2023_EU_0_M,514,,exact_exhausted,,,,,,,,,,,0,0
514,0,1.791759469228055,EU,Unknown,Unknown,PEM,2023.0,1,1,1,5.0,EU,M,2023_EU_0_M,514,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
515,1,0.0,North_America,Other,LowCarbon Hydrogen Corporation,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,515,,exact_exhausted,,,,,,,,,,,0,0
515,1,0.0,North_America,Other,LowCarbon Hydrogen Corporation,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,515,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
516,1,0.0,Other_Europe,Unknown,Unknown,Blue_CCS,2023.0,3,0,0,0.0,OE,XS,2023_OE_1_XS,516,,exact_exhausted,,,,,,,,,,,0,0
516,1,0.0,Other_Europe,Unknown,Unknown,Blue_CCS,2023.0,3,0,0,0.0,OE,XS,2023_OE_1_XS,516,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
517,0,2.3978952727983707,North_America,Unknown,Unknown,PEM,2021.0,5,0,0,10.000000000000002,NA,L,2021_NA_0_L,517,CETPROJH21618,exact,CETPROJH21618,Sauk Valley H2 project,Power & heat,Auxiliary Services,Unknown,Hydrogen,Unknown,,Fully commissioned,Operating,0,0
518,1,0.0,North_America,Other,Southern Rock Energy Partners LLC,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,518,,exact_exhausted,,,,,,,,,,,0,0
518,1,0.0,North_America,Other,Southern Rock Energy Partners LLC,Blue_CCS,2023.0,3,0,0,0.0,NA,XS,2023_NA_1_XS,518,,exact_exhausted,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
519,0,0.6312717768418579,Other,Unknown,Unknown,PEM,2023.0,3,0,0,0.88,OT,S,2023_OT_0_S,519,CETPROJH22611,relaxed,CETPROJH22611,GH2GH Project,Power & heat,Power,Unknown,Hydrogen,No,,Fully commissioned,Operating,0,0
